Hello,Olá
Goodbye,Chau
Thank you,Obrigado\nObrigada
Please,Por favor
Sorry,Desculpe
Excuse me,Com licença
How are you?,Tudo bem?
I'm fine, thanks,Tudo otimo, obrigado
What's your name?,Como se chama?
My name is Dan,Sou Dan
Where are you from?,De onde é?
I'm from Tel-Aviv,Sou de Tel-Aviv
How old are you?,Quantos anos tem?
I'm twenty one years old,Tenho vinte e um anos
Do you speak English?,Se fala inglês?
I don't understand,Não entendo
I don't know,Não sei
I don't remember,Não me lembro
I don't want,Não quero
I don't have,Não tenho